file: st_pos_00.jpg; corr: -1.0000000000; position: (0, 2); grid: (0, 0);
file: st_pos_01.jpg; corr: 0.6895128469; position: (4705, 7); grid: (1, 0);
file: st_pos_02.jpg; corr: 0.7035990025; position: (9420, 10); grid: (2, 0);
file: st_pos_03.jpg; corr: 0.7460634715; position: (14125, 5); grid: (3, 0);
file: st_pos_04.jpg; corr: 0.6703803070; position: (18831, 0); grid: (4, 0);
file: st_pos_05.jpg; corr: 0.5102054076; position: (39, 3001); grid: (0, 1);
file: st_pos_06.jpg; corr: 0.6504716112; position: (4744, 3006); grid: (1, 1);
file: st_pos_07.jpg; corr: 0.8544936334; position: (9459, 3008); grid: (2, 1);
file: st_pos_08.jpg; corr: 0.7601133876; position: (14164, 3004); grid: (3, 1);
file: st_pos_09.jpg; corr: 0.7870743626; position: (18869, 2999); grid: (4, 1);
file: st_pos_10.jpg; corr: 3.8643920684; position: (78, 6000); grid: (0, 2);
file: st_pos_11.jpg; corr: 0.7002023811; position: (4793, 6004); grid: (1, 2);
file: st_pos_12.jpg; corr: 0.8346933042; position: (9498, 6007); grid: (2, 2);
file: st_pos_13.jpg; corr: 0.9531815936; position: (14202, 6003); grid: (3, 2);
file: st_pos_14.jpg; corr: 0.8358796771; position: (18908, 5998); grid: (4, 2);
file: st_pos_15.jpg; corr: 3.9079881517; position: (115, 8992); grid: (0, 3);
file: st_pos_16.jpg; corr: 0.7249468214; position: (4832, 8997); grid: (1, 3);
file: st_pos_17.jpg; corr: 0.8675869040; position: (9537, 9000); grid: (2, 3);
file: st_pos_18.jpg; corr: 0.9443451924; position: (14242, 8996); grid: (3, 3);
file: st_pos_19.jpg; corr: 0.9242802596; position: (18947, 8991); grid: (4, 3);
file: st_pos_20.jpg; corr: 3.9334483496; position: (155, 12004); grid: (0, 4);
file: st_pos_21.jpg; corr: 0.8673492136; position: (4872, 12004); grid: (1, 4);
file: st_pos_22.jpg; corr: 0.8025767035; position: (9578, 12007); grid: (2, 4);
file: st_pos_23.jpg; corr: 0.8814698324; position: (14283, 12003); grid: (3, 4);
file: st_pos_24.jpg; corr: 0.7385340615; position: (18988, 12000); grid: (4, 4);
